Config *****   INC_win: 1
Config *****   SIG: 0
Config *****   add_len: 0
Config *****   att: 9
Config *****   batch_size: 100
Config *****   d_lr: 1e-08
Config *****   feature_len: 20
Config *****   loop: 10
Config *****   lr: 0.0001
Config *****   memory_size: 100000
Config *****   multi: 1
Config *****   netFile: kitti_9
Config *****   nodes_0_base: 1024, 128
Config *****   nodes_1_out: 32
Config *****   nodes_2_feature: 32
Config *****   num_output: 3
Config *****   t_scale: 10
Config *****   te: p_files/kitty_02_Test_cv_s3_2.p
Config *****   tr: p_files/kitty_00_Train_cv_s3_2.p
loading /home/weihao/Projects/p_files/kitty_00_Train_cv_s3_2.p 0:00:44.595650 27234 27234 589 10.4780087897
Saving averages: /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
0 -0.0184571465634 0.437587300242
1 -0.148160065576 0.452617019858
2 -0.0197412769929 0.433858247211
3 -0.148655766687 0.450859829724
4 126.833272084 64.9100426759
5 0.432904853605 0.199554492157
6 3.27143769242 1.78455532594
7 5.11004231967 6.9288501717
8 5.11189527122 6.91173383515
loading /home/weihao/Projects/p_files/kitty_02_Test_cv_s3_2.p 0:00:38.198810 27954 4192 494 10.3886589781
loading /home/weihao/Projects/p_files/kitty_00_Train_cv_s3_2.p 0:00:44.450483 27234 2704 589 10.4780087897
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
Reading average file /home/weihao/Projects/my_nets/fc/../../NNs/kitti_9_fc_avg.p
input attribute 9 LR 0.0001 feature 20 add 0
feature_0 9 32
base_0 160 1024
base_1 1024 128
out_0 128 32
out 32 3
output 20
it: 0.000 0.000 1.00e-04 652.627 461.293 6.022 5.821  652.317 461.221 6.036 5.806  
it: 0.010 0.045 9.99e-05 91.694 96.039 5.840 5.444  74.885 80.232 5.435 5.156  242.117 
it: 0.020 0.089 9.98e-05 52.967 53.031 4.935 4.682  44.102 44.972 4.734 4.341  66.178 
it: 0.030 0.133 9.97e-05 50.761 47.443 5.187 4.865  45.597 43.475 5.093 4.722  46.415 
it: 0.040 0.177 9.96e-05 38.408 37.872 4.305 4.057  35.943 32.381 4.061 3.852  39.649 
it: 0.050 0.221 9.95e-05 36.116 32.343 4.295 3.906  33.873 29.789 4.180 3.817  36.212 
it: 0.060 0.265 9.94e-05 32.221 28.118 3.847 3.511  29.793 25.773 3.700 3.456  34.451 
it: 0.070 0.309 9.93e-05 31.271 27.318 3.800 3.453  29.566 25.084 3.672 3.356  33.083 
it: 0.080 0.353 9.92e-05 30.411 26.318 3.736 3.451  29.288 24.354 3.665 3.306  32.397 
it: 0.090 0.397 9.91e-05 30.939 26.040 3.759 3.387  30.086 25.127 3.714 3.337  31.842 
it: 0.100 0.441 9.90e-05 31.007 25.902 3.739 3.360  30.753 25.181 3.725 3.340  31.399 
it: 0.110 0.485 9.89e-05 26.363 21.777 3.346 3.114  24.741 21.943 3.277 3.264  29.222 
it: 0.120 0.529 9.88e-05 21.167 21.723 3.124 3.045  19.634 19.113 2.997 3.033  22.866 
it: 0.130 0.573 9.87e-05 19.826 19.071 2.901 2.794  18.840 18.088 2.711 2.747  20.328 
it: 0.140 0.617 9.86e-05 21.105 19.349 3.035 2.910  21.072 18.823 3.137 2.961  19.231 
it: 0.150 0.661 9.85e-05 17.928 15.989 2.607 2.584  16.946 15.116 2.497 2.466  18.580 
it: 0.160 0.705 9.84e-05 17.842 17.078 2.654 2.528  17.815 15.744 2.561 2.496  18.242 
it: 0.170 0.749 9.83e-05 18.194 17.337 2.795 2.725  18.017 16.527 2.799 2.709  17.796 
it: 0.180 0.793 9.82e-05 16.323 15.805 2.419 2.393  15.710 14.466 2.351 2.277  17.456 
it: 0.190 0.837 9.81e-05 17.676 15.343 2.548 2.492  18.011 15.750 2.638 2.536  17.269 
it: 0.200 0.881 9.80e-05 15.862 14.336 2.369 2.289  15.468 13.649 2.346 2.257  17.066 
it: 0.210 0.925 9.79e-05 16.012 14.276 2.446 2.373  15.053 13.799 2.370 2.352  16.912 
it: 0.220 0.969 9.78e-05 15.111 14.293 2.354 2.251  15.066 13.241 2.230 2.164  16.736 
it: 0.230 1.013 9.77e-05 15.524 13.626 2.406 2.240  14.532 13.533 2.270 2.208  16.497 
it: 0.240 1.057 9.76e-05 17.067 15.501 2.364 2.246  16.993 15.548 2.292 2.189  16.415 
it: 0.250 1.101 9.75e-05 15.377 14.405 2.303 2.227  14.563 13.446 2.201 2.182  16.331 
it: 0.260 1.144 9.74e-05 15.898 15.404 2.474 2.438  15.132 14.103 2.438 2.368  16.190 
it: 0.270 1.189 9.73e-05 15.894 14.402 2.285 2.236  15.465 14.060 2.233 2.170  16.003 
it: 0.280 1.234 9.72e-05 14.358 13.164 2.209 2.170  13.915 12.882 2.167 2.110  15.939 
it: 0.290 1.278 9.71e-05 15.661 14.738 2.345 2.291  15.429 14.141 2.359 2.291  15.822 
it: 0.300 1.321 9.70e-05 14.702 13.570 2.232 2.160  14.484 12.979 2.168 2.077  15.680 
it: 0.310 1.365 9.69e-05 13.802 12.898 2.185 2.097  13.630 12.476 2.154 2.075  15.457 
it: 0.320 1.409 9.68e-05 13.034 12.622 2.270 2.242  12.129 12.107 2.200 2.176  14.509 
it: 0.330 1.452 9.67e-05 11.726 11.038 2.057 2.084  10.899 10.766 1.919 2.032  12.093 
it: 0.340 1.495 9.66e-05 11.177 10.888 1.995 2.024  9.394 9.823 1.847 1.913  10.510 
it: 0.350 1.539 9.65e-05 10.008 9.931 1.812 1.917  8.223 8.178 1.651 1.759  9.675 
it: 0.360 1.583 9.64e-05 9.846 9.984 1.795 1.861  9.155 9.127 1.742 1.822  9.301 
it: 0.370 1.627 9.63e-05 9.225 9.364 1.803 1.870  8.327 8.608 1.798 1.874  8.888 
it: 0.380 1.671 9.62e-05 9.306 9.282 1.735 1.761  8.034 7.881 1.535 1.616  8.577 
it: 0.390 1.716 9.61e-05 8.579 8.582 1.670 1.724  7.218 7.191 1.498 1.596  8.329 
it: 0.400 1.759 9.60e-05 8.368 8.086 1.640 1.690  7.295 7.352 1.597 1.679  8.134 
it: 0.410 1.803 9.59e-05 9.523 9.343 1.684 1.724  8.629 8.127 1.536 1.646  7.951 
it: 0.420 1.846 9.58e-05 9.102 8.519 1.744 1.775  8.363 8.346 1.677 1.758  7.797 
it: 0.430 1.890 9.57e-05 9.027 8.128 1.642 1.697  8.084 7.572 1.515 1.611  7.654 
it: 0.440 1.933 9.56e-05 7.279 7.128 1.532 1.576  6.094 5.960 1.379 1.447  7.577 
it: 0.450 1.977 9.55e-05 7.559 8.476 1.522 1.568  6.249 6.011 1.387 1.455  7.435 
it: 0.460 2.021 9.54e-05 7.540 8.386 1.504 1.619  5.838 6.565 1.450 1.542  7.287 
it: 0.470 2.064 9.53e-05 7.319 7.473 1.536 1.629  6.457 6.071 1.491 1.547  7.198 
it: 0.480 2.108 9.52e-05 8.260 8.655 1.830 1.910  7.344 6.801 1.737 1.730  7.131 
it: 0.490 2.151 9.51e-05 7.233 7.050 1.499 1.542  5.698 5.588 1.321 1.384  7.015 
it: 0.500 2.195 9.50e-05 7.204 6.865 1.438 1.483  5.719 5.596 1.252 1.335  6.947 
it: 0.510 2.239 9.49e-05 7.724 7.769 1.559 1.617  6.308 6.147 1.452 1.494  6.831 
it: 0.520 2.282 9.48e-05 7.805 8.450 1.524 1.576  6.858 6.672 1.346 1.432  6.776 
it: 0.530 2.326 9.47e-05 6.655 6.894 1.437 1.524  5.941 5.552 1.359 1.412  6.689 
it: 0.540 2.369 9.46e-05 6.351 6.486 1.386 1.413  4.928 5.016 1.207 1.261  6.684 
it: 0.550 2.413 9.45e-05 7.618 8.511 1.626 1.716  6.945 8.050 1.490 1.623  6.519 
it: 0.560 2.456 9.44e-05 7.152 7.239 1.454 1.524  6.048 5.814 1.294 1.367  6.418 
it: 0.570 2.500 9.43e-05 6.500 7.006 1.499 1.570  5.534 5.717 1.430 1.472  6.449 
it: 0.580 2.543 9.42e-05 7.426 7.387 1.438 1.518  5.991 6.330 1.363 1.442  6.410 
it: 0.590 2.587 9.41e-05 6.404 6.584 1.370 1.429  5.083 5.057 1.205 1.274  6.375 
it: 0.600 2.631 9.40e-05 7.103 7.001 1.517 1.574  5.694 6.320 1.475 1.466  6.232 
it: 0.610 2.675 9.39e-05 6.525 6.682 1.436 1.469  5.361 5.752 1.351 1.384  6.141 
it: 0.620 2.719 9.38e-05 6.309 6.405 1.353 1.379  5.041 5.400 1.193 1.251  6.159 
it: 0.630 2.763 9.37e-05 5.994 6.514 1.320 1.411  4.717 5.233 1.169 1.264  6.152 
it: 0.640 2.806 9.36e-05 6.769 7.460 1.526 1.665  5.835 6.826 1.490 1.550  5.990 
it: 0.650 2.850 9.35e-05 6.205 6.355 1.367 1.417  4.844 5.581 1.163 1.250  6.043 
it: 0.660 2.894 9.34e-05 6.179 6.291 1.349 1.433  5.199 5.292 1.254 1.284  6.032 
it: 0.670 2.937 9.33e-05 6.058 6.784 1.400 1.424  5.144 5.800 1.220 1.302  5.876 
it: 0.680 2.981 9.32e-05 6.097 6.040 1.291 1.364  4.893 5.165 1.187 1.216  5.928 
it: 0.690 3.024 9.31e-05 6.458 6.057 1.370 1.397  5.454 5.748 1.218 1.279  5.817 
it: 0.700 3.067 9.30e-05 6.126 6.363 1.313 1.397  4.845 5.599 1.132 1.236  5.790 
it: 0.710 3.112 9.29e-05 5.417 5.911 1.270 1.345  4.083 4.946 1.135 1.200  5.720 
it: 0.720 3.156 9.28e-05 6.161 6.102 1.330 1.392  4.861 4.995 1.217 1.252  5.793 
it: 0.730 3.199 9.27e-05 6.249 6.169 1.461 1.525  5.496 5.194 1.363 1.412  5.590 
it: 0.740 3.243 9.26e-05 5.849 5.960 1.333 1.381  4.329 4.670 1.176 1.214  5.590 
it: 0.750 3.287 9.25e-05 5.852 6.310 1.425 1.487  5.027 4.944 1.283 1.335  5.535 
it: 0.760 3.330 9.24e-05 5.555 5.782 1.274 1.342  4.662 4.759 1.163 1.192  5.593 
it: 0.770 3.374 9.23e-05 6.066 6.067 1.324 1.407  4.955 5.438 1.180 1.271  5.488 
it: 0.780 3.418 9.22e-05 6.552 6.843 1.375 1.423  5.900 7.766 1.284 1.349  5.412 
it: 0.790 3.461 9.21e-05 6.399 6.823 1.461 1.497  5.431 6.081 1.391 1.391  5.447 
it: 0.800 3.505 9.20e-05 5.430 5.743 1.262 1.325  4.126 4.745 1.100 1.199  5.441 
it: 0.810 3.548 9.19e-05 5.538 6.034 1.258 1.313  4.332 5.073 1.120 1.183  5.343 
it: 0.820 3.592 9.18e-05 5.426 5.884 1.237 1.341  4.454 7.044 1.145 1.193  5.243 
it: 0.830 3.635 9.17e-05 5.977 6.504 1.389 1.450  4.725 5.250 1.299 1.351  5.286 
it: 0.840 3.679 9.16e-05 5.577 5.819 1.290 1.328  4.313 5.105 1.145 1.211  5.193 
it: 0.850 3.723 9.15e-05 5.697 5.691 1.317 1.309  4.739 4.958 1.168 1.226  5.205 
it: 0.860 3.766 9.14e-05 5.702 6.068 1.305 1.389  4.827 4.974 1.199 1.258  5.168 
it: 0.870 3.810 9.13e-05 5.792 5.770 1.341 1.364  4.728 4.874 1.260 1.291  5.115 
it: 0.880 3.853 9.12e-05 5.417 6.476 1.302 1.358  4.350 5.274 1.171 1.221  5.071 
it: 0.890 3.897 9.11e-05 6.150 6.378 1.340 1.400  4.850 5.347 1.185 1.282  5.105 
it: 0.900 3.941 9.10e-05 5.473 6.470 1.310 1.377  4.171 5.651 1.200 1.226  5.106 
it: 0.910 3.986 9.09e-05 5.305 5.711 1.267 1.350  4.460 4.857 1.176 1.240  4.948 
it: 0.920 4.031 9.08e-05 5.856 6.304 1.368 1.412  5.237 5.648 1.268 1.288  4.910 
it: 0.930 4.075 9.07e-05 5.208 5.502 1.218 1.268  3.918 4.480 1.078 1.132  4.928 
it: 0.940 4.119 9.06e-05 5.107 5.662 1.245 1.297  4.197 4.850 1.107 1.132  4.815 
it: 0.950 4.162 9.05e-05 5.176 5.831 1.249 1.308  3.702 5.063 1.111 1.173  4.865 
it: 0.960 4.206 9.04e-05 4.683 5.371 1.202 1.269  3.479 4.102 1.043 1.132  4.892 
it: 0.970 4.250 9.03e-05 7.266 6.102 1.364 1.383  5.387 6.667 1.275 1.344  4.841 
it: 0.980 4.293 9.02e-05 5.126 6.025 1.290 1.346  3.919 5.233 1.119 1.168  4.763 
it: 0.990 4.337 9.01e-05 5.255 5.726 1.273 1.320  4.145 4.658 1.169 1.220  4.746 
it: 1.000 4.380 9.00e-05 6.431 6.706 1.589 1.618  5.639 6.073 1.555 1.512  4.708 
it: 1.010 4.424 8.99e-05 5.386 5.795 1.241 1.330  3.875 5.409 1.085 1.169  4.703 
it: 1.020 4.468 8.98e-05 5.239 5.499 1.306 1.347  3.931 4.782 1.176 1.238  4.753 
it: 1.030 4.512 8.97e-05 5.111 5.703 1.279 1.350  3.939 4.514 1.176 1.253  4.621 
it: 1.040 4.556 8.96e-05 5.581 5.803 1.305 1.366  4.373 4.941 1.141 1.180  4.642 
